PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Jiang, Bin; Reinhardt, Gilles; Young, Scott T.								BOCOG's outsourcing contracts: The vendor's perspective								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			941	949		10.1016/j.omega.2007.05.004					DEC 2008	2008										12	4	0	0	0	16			0305-0483			WOS:000255311800003		
J	Meng, Wei; Zhang, Daqun; Qi, Li; Liu, Wenbin								Two-level DEA approaches in research evaluation								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			950	957		10.1016/j.omega.2007.12.005					DEC 2008	2008										47	3	0	2	0	49			0305-0483			WOS:000255311800004		
J	Kao, Chiang								A linear formulation of the two-level DEA model								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			958	962		10.1016/j.omega.2008.01.002					DEC 2008	2008										18	0	0	0	0	18			0305-0483			WOS:000255311800005		
J	Wu, Jianghua; Zhai, Xin; Huang, Zhimin								Incentives for information sharing in duopoly with capacity constraints								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			963	975		10.1016/j.omega.2007.10.001					DEC 2008	2008										13	2	0	0	0	15			0305-0483			WOS:000255311800006		
J	Tang, Lixin; Wang, Gongshu								Decision support system for the batching problems of steelmaking and continuous-casting production								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			976	991		10.1016/j.omega.2007.11.002					DEC 2008	2008										50	15	0	0	0	62			0305-0483			WOS:000255311800007		
J	Tang, Lixin; Zhao, Yufang								Scheduling a single semi-continuous batching machine								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			992	1004		10.1016/j.omega.2007.11.003					DEC 2008	2008										15	2	0	0	0	17			0305-0483			WOS:000255311800008		
J	Yu, Ming-Miin; Lin, Erwin T. J.								Efficiency and effectiveness in railway performance using a multi-activity network DEA model								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			1005	1017		10.1016/j.omega.2007.06.003					DEC 2008	2008										145	7	0	4	1	152			0305-0483			WOS:000255311800009		
J	Doerner, K. F.; Gutjahr, W. J.; Hartl, R. F.; Strauss, C.; Stummer, C.				Strauss, Christine/Q-3828-2016; Hartl, Richard F/C-7043-2017; Doerner, Karl/B-8769-2008	Strauss, Christine/0000-0003-0276-3610; Hartl, Richard F/0000-0002-0461-0979; Doerner, Karl/0000-0001-8350-1393; Gutjahr, Walter/0000-0003-1494-2501; Stummer, Christian/0000-0001-5495-5740			Nature-inspired metaheuristics for multiobjective activity crashing								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			1019	1037		10.1016/j.omega.2006.05.001					DEC 2008	2008										11	2	1	0	0	14			0305-0483			WOS:000255311800010		
J	Huang, Chi-Cheng; Chu, Pin-Yu; Chiang, Yu-Hsiu								A fuzzy AHP application in government-sponsored R&D project selection								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			1038	1052		10.1016/j.omega.2006.05.003					DEC 2008	2008										179	2	0	5	3	184			0305-0483			WOS:000255311800011		
J	Pan, Xia								Platinum ratio search versus golden ratio search								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			1053	1056		10.1016/j.omega.2006.05.004					DEC 2008	2008										0	0	0	0	0	0			0305-0483			WOS:000255311800012		
